"palabra","idioma"
"hither","english"
"hopefully","english"
"how","english"
"howbeit","english"
"however","english"
"i","english"
"i'd","english"
"i'll","english"
"i'm","english"
"i've","english"
"ie","english"
"if","english"
"ignored","english"
"immediate","english"
"in","english"
"inasmuch","english"
"inc","english"
"indeed","english"
"indicate","english"
"indicated","english"
"indicates","english"
"inner","english"
"insofar","english"
"instead","english"
"into","english"
"inward","english"
"is","english"
"isn't","english"
"it","english"
"it'd","english"
"it'll","english"
"it's","english"
"its","english"
"itself","english"
"j","english"
"just","english"
"k","english"
"keep","english"
"keeps","english"
"kept","english"
"know","english"
"knows","english"
"known","english"
"l","english"
"last","english"
"lately","english"
"later","english"
"latter","english"
"latterly","english"
"least","english"
"less","english"
"lest","english"
"let","english"
"let's","english"
"like","english"
"liked","english"
"likely","english"
"little","english"
"look","english"
"looking","english"
"looks","english"
"ltd","english"
"m","english"
"mainly","english"
"many","english"
"may","english"
"maybe","english"
"me","english"
"mean","english"
"meanwhile","english"
"merely","english"
"might","english"
"more","english"
"moreover","english"
"most","english"
"mostly","english"
"much","english"
"must","english"
"my","english"
"myself","english"
"n","english"
"name","english"
"namely","english"
"nd","english"
"near","english"
"nearly","english"
"necessary","english"
"need","english"
"needs","english"
"neither","english"
"never","english"
"nevertheless","english"
"new","english"
"next","english"
"nine","english"
"no","english"
"nobody","english"
"non","english"
"none","english"
"noone","english"
"nor","english"
"normally","english"
"not","english"
"nothing","english"
"novel","english"
"now","english"
"nowhere","english"
"o","english"
"obviously","english"
"of","english"
"off","english"
"often","english"
"oh","english"
"ok","english"
"okay","english"
"old","english"
"on","english"
"once","english"
"one","english"
"ones","english"
"only","english"
"onto","english"
"or","english"
"other","english"
"others","english"
"otherwise","english"
"ought","english"
"our","english"
"ours","english"
"ourselves","english"
"out","english"
"outside","english"
"over","english"
"overall","english"
"own","english"
"p","english"
"particular","english"
"particularly","english"
"per","english"
"perhaps","english"
"placed","english"
"please","english"
"plus","english"
"possible","english"
"presumably","english"
"probably","english"
"provides","english"
"q","english"
"que","english"
"quite","english"
"qv","english"
"r","english"
"rather","english"
"rd","english"
"re","english"
"really","english"
"reasonably","english"
"regarding","english"
"regardless","english"
"regards","english"
"relatively","english"
"respectively","english"
"right","english"
"s","english"
"said","english"
"same","english"
"saw","english"
"say","english"
"saying","english"
"says","english"
"second","english"
"secondly","english"
"see","english"
"seeing","english"
"seem","english"
"seemed","english"
"seeming","english"
"seems","english"
"seen","english"
"self","english"
"selves","english"
"sensible","english"
"sent","english"
"serious","english"
"seriously","english"
"seven","english"
"several","english"
"shall","english"
"she","english"
"should","english"
"shouldn't","english"
"since","english"
"six","english"
"so","english"
"some","english"
"somebody","english"
"somehow","english"
"someone","english"
"something","english"
"sometime","english"
"sometimes","english"
"somewhat","english"
"somewhere","english"
"soon","english"
"sorry","english"
"specified","english"
"specify","english"
"specifying","english"
"still","english"
"sub","english"
"such","english"
"sup","english"
"sure","english"
"t","english"
"t's","english"
"take","english"
"taken","english"
"tell","english"
"tends","english"
"th","english"
"than","english"
"thank","english"
"thanks","english"
"thanx","english"
"that","english"
"that's","english"
"thats","english"
"the","english"
"their","english"
"theirs","english"
"them","english"
"themselves","english"
"then","english"
"thence","english"
"there","english"
"there's","english"
"thereafter","english"
"thereby","english"
"therefore","english"
"therein","english"
"theres","english"
"thereupon","english"
"these","english"
"they","english"
"they'd","english"
"they'll","english"
"they're","english"
"they've","english"
"think","english"
"third","english"
"this","english"
"thorough","english"
"thoroughly","english"
"those","english"
"though","english"
"three","english"
"through","english"
"throughout","english"
"thru","english"
"thus","english"
"to","english"
"together","english"
"too","english"
"took","english"
"toward","english"
"towards","english"
"tried","english"
"tries","english"
"truly","english"
"try","english"
"trying","english"
"twice","english"
"two","english"
"u","english"
"un","english"
"under","english"
"unfortunately","english"
"unless","english"
"unlikely","english"
"until","english"
"unto","english"
"up","english"
"upon","english"
"us","english"
"use","english"
"used","english"
"useful","english"
"uses","english"
"using","english"
"usually","english"
"uucp","english"
"v","english"
"value","english"
"various","english"
"very","english"
"via","english"
"viz","english"
"vs","english"
"w","english"
"want","english"
"wants","english"
"was","english"
"wasn't","english"
"way","english"
"we","english"
"we'd","english"
"we'll","english"
"we're","english"
"we've","english"
"welcome","english"
"well","english"
"went","english"
"were","english"
"weren't","english"
"what","english"
"what's","english"
"whatever","english"
"when","english"
"whence","english"
"whenever","english"
"where","english"
"where's","english"
"whereafter","english"
"whereas","english"
"whereby","english"
"wherein","english"
"whereupon","english"
"wherever","english"
"whether","english"
"which","english"
"while","english"
"whither","english"
"who","english"
"who's","english"
"whoever","english"
"whole","english"
"whom","english"
"whose","english"
"why","english"
"will","english"
"willing","english"
"wish","english"
"with","english"
"within","english"
"without","english"
"won't","english"
"wonder","english"
"would","english"
"would","english"
"wouldn't","english"
"x","english"
"y","english"
"yes","english"
"yet","english"
"you","english"
"you'd","english"
"you'll","english"
"you're","english"
"you've","english"
"your","english"
"yours","english"
"yourself","english"
"yourselves","english"
"z","english"
"zero","english"
"i","english"
"me","english"
"my","english"
"myself","english"
"we","english"
"our","english"
"ours","english"
"ourselves","english"
"you","english"
"your","english"
"yours","english"
"yourself","english"
"yourselves","english"
"he","english"
"him","english"
"his","english"
"himself","english"
"she","english"
"her","english"
"hers","english"
"herself","english"
"it","english"
"its","english"
"itself","english"
"they","english"
"them","english"
"their","english"
"theirs","english"
"themselves","english"
"what","english"
"which","english"
"who","english"
"whom","english"
"this","english"
"that","english"
"these","english"
"those","english"
"am","english"
"is","english"
"are","english"
"was","english"
"were","english"
"be","english"
"been","english"
"being","english"
"have","english"
"has","english"
"had","english"
"having","english"
"do","english"
"does","english"
"did","english"
"doing","english"
"would","english"
"should","english"
"could","english"
"ought","english"
"i'm","english"
"you're","english"
"he's","english"
"she's","english"
"it's","english"
"we're","english"
"they're","english"
"i've","english"
"you've","english"
"we've","english"
"they've","english"
"i'd","english"
"you'd","english"
"he'd","english"
"she'd","english"
"we'd","english"
"they'd","english"
"i'll","english"
"you'll","english"
"he'll","english"
"she'll","english"
"we'll","english"
"they'll","english"
"isn't","english"
"aren't","english"
"wasn't","english"
"weren't","english"
"hasn't","english"
"haven't","english"
"hadn't","english"
"doesn't","english"
"don't","english"
"didn't","english"
"won't","english"
"wouldn't","english"
"shan't","english"
"shouldn't","english"
"can't","english"
"cannot","english"
"couldn't","english"
"mustn't","english"
"let's","english"
"that's","english"
"who's","english"
"what's","english"
"here's","english"
"there's","english"
"when's","english"
"where's","english"
"why's","english"
"how's","english"
"a","english"
"an","english"
"the","english"
"and","english"
"but","english"
"if","english"
"or","english"
"because","english"
"as","english"
"until","english"
"while","english"
"of","english"
"at","english"
"by","english"
"for","english"
"with","english"
"about","english"
"against","english"
"between","english"
"into","english"
"through","english"
"during","english"
"before","english"
"after","english"
"above","english"
"below","english"
"to","english"
"from","english"
"up","english"
"down","english"
"in","english"
"out","english"
"on","english"
"off","english"
"over","english"
"under","english"
"again","english"
"further","english"
"then","english"
"once","english"
"here","english"
"there","english"
"when","english"
"where","english"
"why","english"
"how","english"
"all","english"
"any","english"
"both","english"
"each","english"
"few","english"
"more","english"
"most","english"
"other","english"
"some","english"
"such","english"
"no","english"
"nor","english"
"not","english"
"only","english"
"own","english"
"same","english"
"so","english"
"than","english"
"too","english"
"very","english"
"a","english"
"about","english"
"above","english"
"across","english"
"after","english"
"again","english"
"against","english"
"all","english"
"almost","english"
"alone","english"
"along","english"
"already","english"
"also","english"
"although","english"
"always","english"
"among","english"
"an","english"
"and","english"
"another","english"
"any","english"
"anybody","english"
"anyone","english"
"anything","english"
"anywhere","english"
"are","english"
"area","english"
"areas","english"
"around","english"
"as","english"
"ask","english"
"asked","english"
"asking","english"
"asks","english"
"at","english"
"away","english"
"back","english"
"backed","english"
"backing","english"
"backs","english"
"be","english"
"became","english"
"because","english"
"become","english"
"becomes","english"
"been","english"
"before","english"
"began","english"
"behind","english"
"being","english"
"beings","english"
"best","english"
"better","english"
"between","english"
"big","english"
"both","english"
"but","english"
"by","english"
"came","english"
"can","english"
"cannot","english"
"case","english"
"cases","english"
"certain","english"
"certainly","english"
"clear","english"
"clearly","english"
"come","english"
"could","english"
"did","english"
"differ","english"
"different","english"
"differently","english"
"do","english"
"does","english"
"done","english"
"down","english"
"down","english"
"downed","english"
"downing","english"
"downs","english"
"during","english"
"each","english"
"early","english"
"either","english"
"end","english"
"ended","english"
"ending","english"
"ends","english"
"enough","english"
"even","english"
"evenly","english"
"ever","english"
"every","english"
"everybody","english"
"everyone","english"
"everything","english"
"everywhere","english"
"face","english"
"faces","english"
"fact","english"
"facts","english"
"far","english"
"felt","english"
"few","english"
"find","english"
"finds","english"
"first","english"
"for","english"
"four","english"
"from","english"
"full","english"
"fully","english"
"further","english"
"furthered","english"
"furthering","english"
"furthers","english"
"gave","english"
"general","english"
"generally","english"
"get","english"
"gets","english"
"give","english"
"given","english"
"gives","english"
"go","english"
"going","english"
"good","english"
"goods","english"
"got","english"
"great","english"
"greater","english"
"greatest","english"
"group","english"
"grouped","english"
"grouping","english"
"groups","english"
"had","english"
"has","english"
"have","english"
"having","english"
"he","english"
"her","english"
"here","english"
"herself","english"
"high","english"
"high","english"
"high","english"
"higher","english"
"highest","english"
"him","english"
"himself","english"
"his","english"
"how","english"
"however","english"
"i","english"
"if","english"
"important","english"
"in","english"
"interest","english"
"interested","english"
"interesting","english"
"interests","english"
"into","english"
"is","english"
"it","english"
"its","english"
"itself","english"
"just","english"
"keep","english"
"keeps","english"
"kind","english"
"knew","english"
"know","english"
"known","english"
"knows","english"
"large","english"
"largely","english"
"last","english"
"later","english"
"latest","english"
"least","english"
"less","english"
"let","english"
"lets","english"
"like","english"
"likely","english"
"long","english"
"longer","english"
"longest","english"
"made","english"
"make","english"
"making","english"
"man","english"
"many","english"
"may","english"
"me","english"
"member","english"
"members","english"
"men","english"
"might","english"
"more","english"
"most","english"
"mostly","english"
"mr","english"
"mrs","english"
"much","english"
"must","english"
"my","english"
"myself","english"
"necessary","english"
"need","english"
"needed","english"
"needing","english"
"needs","english"
"never","english"
"new","english"
"new","english"
"newer","english"
"newest","english"
"next","english"
"no","english"
"nobody","english"
"non","english"
"noone","english"
"not","english"
"nothing","english"
"now","english"
"nowhere","english"
"number","english"
"numbers","english"
"of","english"
"off","english"
"often","english"
"old","english"
"older","english"
"oldest","english"
"on","english"
"once","english"
"one","english"
"only","english"
"open","english"
"opened","english"
"opening","english"
"opens","english"
"or","english"
"order","english"
"ordered","english"
"ordering","english"
"orders","english"
"other","english"
"others","english"
"our","english"
"out","english"
"over","english"
"part","english"
"parted","english"
"parting","english"
"parts","english"
"per","english"
"perhaps","english"
"place","english"
"places","english"
"point","english"
"pointed","english"
"pointing","english"
"points","english"
"possible","english"
"present","english"
"presented","english"
"presenting","english"
"presents","english"
"problem","english"
"problems","english"
"put","english"
"puts","english"
"quite","english"
"rather","english"
"really","english"
"right","english"
"right","english"
"room","english"
"rooms","english"
"said","english"
"same","english"
"saw","english"
"say","english"
"says","english"
"second","english"
"seconds","english"
"see","english"
"seem","english"
"seemed","english"
"seeming","english"
"seems","english"
"sees","english"
"several","english"
"shall","english"
"she","english"
"should","english"
"show","english"
"showed","english"
"showing","english"
"shows","english"
"side","english"
"sides","english"
"since","english"
"small","english"
"smaller","english"
"smallest","english"
"some","english"
"somebody","english"
"someone","english"
"something","english"
"somewhere","english"
"state","english"
"states","english"
"still","english"
"still","english"
"such","english"
"sure","english"
"take","english"
"taken","english"
"than","english"
"that","english"
"the","english"
"their","english"
"them","english"
"then","english"
"there","english"
"therefore","english"
"these","english"
"they","english"
"thing","english"
"things","english"
"think","english"
"thinks","english"
"this","english"
"those","english"
"though","english"
"thought","english"
"thoughts","english"
"three","english"
"through","english"
"thus","english"
"to","english"
"today","english"
"together","english"
"too","english"
"took","english"
"toward","english"
"turn","english"
"turned","english"
"turning","english"
"turns","english"
"two","english"
"under","english"
"until","english"
"up","english"
"upon","english"
"us","english"
"use","english"
"used","english"
"uses","english"
"very","english"
"want","english"
"wanted","english"
"wanting","english"
"wants","english"
"was","english"
"way","english"
"ways","english"
"we","english"
"well","english"
"wells","english"
"went","english"
"were","english"
"what","english"
"when","english"
"where","english"
"whether","english"
"which","english"
"while","english"
"who","english"
"whole","english"
"whose","english"
"why","english"
"will","english"
"with","english"
"within","english"
"without","english"
"work","english"
"worked","english"
"working","english"
"works","english"
"would","english"
"year","english"
"years","english"
"yet","english"
"you","english"
"young","english"
"younger","english"
"yours","english"
"youngest","english"
"your","english"
"yours1","english"
"yours2","english"
